영역,유형,표준점수,남자,여자
언어 ,언어,140,305,338
언어 ,언어,139,20,28
언어 ,언어,138,1147,1040
언어 ,언어,137,146,173
언어 ,언어,136,2163,2136
언어 ,언어,135,475,499
언어 ,언어,134,2971,2885
언어 ,언어,132,923,961
언어 ,언어,131,3738,3667
언어 ,언어,130,1556,1695
언어 ,언어,129,4356,4249
언어 ,언어,128,2147,2361
언어 ,언어,127,4724,4730
언어 ,언어,126,2752,3227
언어 ,언어,125,4903,4889
언어 ,언어,123,3489,3951
언어 ,언어,122,5032,5153
언어 ,언어,121,4218,4615
언어 ,언어,120,5166,5271
언어 ,언어,119,4686,5135
언어 ,언어,118,5314,5535
언어 ,언어,117,5147,5471
언어 ,언어,116,5454,5576
언어 ,언어,114,5358,5829
언어 ,언어,113,5507,5758
언어 ,언어,112,5687,5987
언어 ,언어,111,5683,5795
언어 ,언어,110,5730,5981
언어 ,언어,109,5634,5873
언어 ,언어,108,6030,5957
언어 ,언어,107,5790,5717
언어 ,언어,105,6012,5779
언어 ,언어,104,5858,5780
언어 ,언어,103,5910,5593
언어 ,언어,102,5947,5539
언어 ,언어,101,5951,5528
언어 ,언어,100,5791,5355
언어 ,언어,99,5768,5201
언어 ,언어,98,5704,5058
언어 ,언어,96,5708,5106
언어 ,언어,95,5500,4963
언어 ,언어,94,5492,4841
언어 ,언어,93,5295,4595
언어 ,언어,92,5431,4413
언어 ,언어,91,5272,4234
언어 ,언어,90,5259,4110
언어 ,언어,89,4859,4019
언어 ,언어,87,4908,3759
언어 ,언어,86,4903,3675
언어 ,언어,85,4521,3640
언어 ,언어,84,4421,3427
언어 ,언어,83,4304,3271
언어 ,언어,82,4177,3156
언어 ,언어,81,4046,2953
언어 ,언어,80,3783,2886
언어 ,언어,78,3710,2735
언어 ,언어,77,3508,2666
언어 ,언어,76,3321,2535
언어 ,언어,75,3251,2362
언어 ,언어,74,3053,2229
언어 ,언어,73,2848,2063
언어 ,언어,72,2679,1878
언어 ,언어,71,2615,1859
언어 ,언어,69,2463,1700
언어 ,언어,68,2249,1577
언어 ,언어,67,2225,1479
언어 ,언어,66,2045,1356
언어 ,언어,65,1944,1198
언어 ,언어,64,1834,1175
언어 ,언어,63,1673,1102
언어 ,언어,62,1647,944
언어 ,언어,60,1417,864
언어 ,언어,59,1435,828
언어 ,언어,58,1299,693
언어 ,언어,57,1191,660
언어 ,언어,56,1167,564
언어 ,언어,55,1001,473
언어 ,언어,54,1003,420
언어 ,언어,53,1000,426
언어 ,언어,51,813,362
언어 ,언어,50,619,293
언어 ,언어,49,582,242
언어 ,언어,48,417,175
언어 ,언어,47,443,181
언어 ,언어,46,316,135
언어 ,언어,45,248,112
언어 ,언어,44,167,79
언어 ,언어,42,125,73
언어 ,언어,41,104,42
언어 ,언어,40,62,31
언어 ,언어,39,40,26
언어 ,언어,38,41,28
언어 ,언어,37,25,19
언어 ,언어,36,23,22
언어 ,언어,35,13,11
언어 ,언어,33,5,9
언어 ,언어,32,4,13
언어 ,언어,31,10,3
언어 ,언어,30,8,13
언어 ,언어,29,9,2
언어 ,언어,28,79,30
수리,수리 가형,154,79,16
수리,수리 가형,152,2,0
수리,수리 가형,151,100,13
수리,수리 가형,150,130,19
수리,수리 가형,149,8,2
수리,수리 가형,148,84,13
수리,수리 가형,147,194,41
수리,수리 가형,146,94,5
수리,수리 가형,145,152,39
수리,수리 가형,144,117,19
수리,수리 가형,143,292,60
수리,수리 가형,142,241,34
수리,수리 가형,141,169,41
수리,수리 가형,140,337,69
수리,수리 가형,139,422,110
수리,수리 가형,138,305,85
수리,수리 가형,137,336,88
수리,수리 가형,136,474,87
수리,수리 가형,135,545,143
수리,수리 가형,134,422,104
수리,수리 가형,133,503,123
수리,수리 가형,132,642,182
수리,수리 가형,131,687,194
수리,수리 가형,130,641,191
수리,수리 가형,129,862,221
수리,수리 가형,128,911,304
수리,수리 가형,127,804,267
수리,수리 가형,126,842,294
수리,수리 가형,125,1000,348
수리,수리 가형,124,751,247
수리,수리 가형,123,1041,367
수리,수리 가형,122,865,316
수리,수리 가형,121,1288,468
수리,수리 가형,120,1118,431
수리,수리 가형,119,1185,394
수리,수리 가형,118,1347,505
수리,수리 가형,117,1383,505
수리,수리 가형,116,1282,517
수리,수리 가형,115,1422,551
수리,수리 가형,114,1199,505
수리,수리 가형,113,1418,571
수리,수리 가형,112,1316,580
수리,수리 가형,111,1400,591
수리,수리 가형,110,1558,681
수리,수리 가형,109,1567,642
수리,수리 가형,108,1561,669
수리,수리 가형,107,1680,749
수리,수리 가형,106,1621,746
수리,수리 가형,105,1443,655
수리,수리 가형,104,1786,817
수리,수리 가형,103,1522,693
수리,수리 가형,102,1515,673
수리,수리 가형,101,1195,541
수리,수리 가형,100,1610,830
수리,수리 가형,99,1682,825
수리,수리 가형,98,1521,739
수리,수리 가형,97,1605,724
수리,수리 가형,96,1505,778
수리,수리 가형,95,1466,722
수리,수리 가형,94,1279,589
수리,수리 가형,93,1429,764
수리,수리 가형,92,1153,580
수리,수리 가형,91,1271,618
수리,수리 가형,90,1194,582
수리,수리 가형,89,1371,708
수리,수리 가형,88,1166,621
수리,수리 가형,87,1213,591
수리,수리 가형,86,1209,638
수리,수리 가형,85,1136,516
수리,수리 가형,84,867,452
수리,수리 가형,83,1186,524
수리,수리 가형,82,1155,539
수리,수리 가형,81,696,295
수리,수리 가형,80,952,444
수리,수리 가형,79,1024,497
